hour_of_year,season,u_mean_ms,u_prime_ms,omega_rad_s,omega_cross_r_ms,tsr,cp_effective,v_rel_ms,v_rel_mag_ms,particle_density,n_inner,n_outer,h_capture,dh_dt,capture_alert
25,Amihan,6.481494399687654,-0.2776204380580589,25.925977598750617,19.44448319906296,3.0,0.3,-13.240609237433366,13.240609237433366,0.0,0,0,0.0,0.0,0
26,Amihan,4.9726875066456095,-0.17510501071835805,19.890750026582438,14.918062519936829,3.0,0.3,-10.120480024009577,10.120480024009577,0.0,0,0,0.0,0.0,0
27,Amihan,5.015189109266513,0.26696312301496816,20.06075643706605,15.045567327799539,3.0,0.3,-9.763415095518058,9.763415095518058,0.6875,0,55,0.20625,5.7291666666666666e-05,0
28,Amihan,5.387078132199411,0.19686757276778005,21.54831252879764,16.161234396598232,2.9999999999999996,0.3,-10.57728869163104,10.57728869163104,0.0,0,0,0.0,-5.7291666666666666e-05,1
29,Amihan,4.16515705684846,0.17190961497805257,16.66062822739384,12.495471170545379,3.0,0.3,-8.158404498718866,8.158404498718866,0.1875,0,15,0.056249999999999994,1.5624999999999997e-05,0
30,Amihan,3.67638862670808,0.15838654356051476,14.70555450683232,11.02916588012424,3.0,0.3,-7.194390709855645,7.194390709855645,0.0,0,0,0.0,-1.5624999999999997e-05,1
31,Amihan,3.6020108221215,0.7714237835505948,14.408043288486,10.8060324663645,3.0,0.3,-6.432597860692406,6.432597860692406,0.9625,30,77,0.28875,8.020833333333334e-05,0
32,Amihan,4.398915871263424,-0.178778546589407,17.595663485053695,13.196747613790272,3.0,0.3,-8.976610289116255,8.976610289116255,0.0,0,0,0.0,-8.020833333333334e-05,1
33,Amihan,5.525208340717345,-0.2830247799137874,22.10083336286938,16.575625022152035,3.0,0.3,-11.333441461348478,11.333441461348478,0.5125,0,41,0.15374999999999997,4.2708333333333326e-05,0
34,Amihan,5.599586145303924,-0.45567904945229915,22.398344581215696,16.798758435911772,3.0,0.3,-11.654851340060148,11.654851340060148,0.0,0,0,0.0,-4.2708333333333326e-05,1
35,Amihan,5.737716353821859,0.3534315206529167,22.950865415287435,17.213149061465575,3.0,0.3,-11.1220011869908,11.1220011869908,0.0,0,0,0.0,0.0,0
36,Amihan,5.939598966271145,0.6705642662793773,23.75839586508458,17.818796898813435,3.0,0.3,-11.208633666262912,11.208633666262912,0.0,0,0,0.0,0.0,0
37,Amihan,5.748341754477084,-0.06550089286540278,22.993367017908337,17.245025263431252,3.0,0.3,-11.562184401819572,11.562184401819572,0.65,0,52,0.195,5.416666666666667e-05,0
38,Amihan,5.525208340717345,-0.46420395740210607,22.10083336286938,16.575625022152035,3.0,0.3,-11.514620638836796,11.514620638836796,0.0,0,0,0.0,-5.416666666666667e-05,1
39,Amihan,5.535833741372571,-0.456419093295144,22.143334965490283,16.607501224117712,3.0,0.3,-11.528086576040286,11.528086576040286,0.9375,9,75,0.28125,7.8125e-05,0
40,Amihan,5.535833741372571,0.36015735067336263,22.143334965490283,16.607501224117712,3.0,0.3,-10.71151013207178,10.71151013207178,0.0,0,0,0.0,-7.8125e-05,1
41,Amihan,5.344576529578509,0.3972378798925245,21.378306118314033,16.033729588735525,2.9999999999999996,0.3,-10.291915179264493,10.291915179264493,0.6375,0,51,0.19124999999999998,5.312499999999999e-05,0
42,Amihan,5.259573324336704,0.2856759700577624,21.038293297346815,15.778719973010112,3.0,0.3,-10.233470678615646,10.233470678615646,0.0,0,0,0.0,-5.312499999999999e-05,1
43,Amihan,5.12144311581877,-0.34083701089042484,20.48577246327508,15.364329347456309,3.0,0.3,-10.583723242527963,10.583723242527963,0.9875,29,79,0.29625,8.229166666666667e-05,0
44,Amihan,4.55829688109181,0.10582602348451768,18.23318752436724,13.674890643275429,3.0,0.3,-9.010767738699101,9.010767738699101,0.0,0,0,0.0,-8.229166666666667e-05,1
45,Amihan,4.3776650699529736,0.05108113908345654,17.510660279811894,13.13299520985892,3.0,0.3,-8.70424900082249,8.70424900082249,0.875,19,70,0.2625,7.291666666666667e-05,0
46,Amihan,5.408328933509862,0.1182739865118191,21.633315734039446,16.224986800529585,2.9999999999999996,0.3,-10.698383880507905,10.698383880507905,0.0,0,0,0.0,-7.291666666666667e-05,1
47,Amihan,6.279611787238367,0.5472234425742178,25.118447148953468,18.838835361715102,3.0,0.3,-12.012000131902518,12.012000131902518,0.0,0,0,0.0,0.0,0
48,Amihan,6.279611787238367,0.1404093243659526,25.118447148953468,18.838835361715102,3.0,0.3,-12.418814250110781,12.418814250110781,0.0,0,0,0.0,0.0,0
49,Amihan,5.865221161684565,0.39819781970839463,23.46088464673826,17.595663485053695,3.0,0.3,-11.332244503660736,11.332244503660736,0.0,0,0,0.0,0.0,0
50,Amihan,5.270198724991928,0.03561551258564968,21.080794899967714,15.810596174975785,3.0,0.3,-10.504781937398207,10.504781937398207,0.0,0,0,0.0,0.0,0
51,Amihan,4.462668275194779,0.12902439682771832,17.850673100779115,13.388004825584336,3.0,0.3,-8.79631215356184,8.79631215356184,1.0,37,80,0.3,8.333333333333333e-05,0
52,Amihan,3.857020437846916,0.243489158923137,15.428081751387664,11.571061313540747,3.0,0.3,-7.470551716770695,7.470551716770695,0.0,0,0,0.0,-8.333333333333333e-05,1
53,Amihan,4.101404652917106,-0.597638565958127,16.405618611668423,12.304213958751317,3.0,0.3,-8.800447871792338,8.800447871792338,0.4375,0,35,0.13125,3.6458333333333336e-05,0
54,Amihan,4.8345572981276765,-0.15454688120415427,19.338229192510706,14.503671894383029,3.0,0.3,-9.823661477459506,9.823661477459506,0.0,0,0,0.0,-3.6458333333333336e-05,1
55,Amihan,5.620836946614376,-0.2643887993926016,22.483347786457504,16.86251083984313,3.0,0.3,-11.506062692621354,11.506062692621354,0.85,0,68,0.255,7.083333333333334e-05,0
56,Amihan,6.513370601653332,-0.41612481947957225,26.053482406613327,19.540111804959995,3.0,0.3,-13.442866022786236,13.442866022786236,0.0,0,0,0.0,-7.083333333333334e-05,1
57,Amihan,6.725878614757844,-0.18505733835418828,26.903514459031374,20.17763584427353,2.9999999999999996,0.3,-13.636814567869877,13.636814567869877,0.0,0,0,0.0,0.0,0
58,Amihan,6.215859383307013,0.929234497692961,24.86343753322805,18.64757814992104,3.0,0.3,-11.502484268921066,11.502484268921066,0.0,0,0,0.0,0.0,0
59,Amihan,5.992725969547274,-0.5188688612256989,23.970903878189095,17.978177908641822,3.0,0.3,-12.504320800320247,12.504320800320247,0.85,0,68,0.255,7.083333333333334e-05,0
60,Amihan,5.758967155132309,0.5576283241117894,23.035868620529232,17.276901465396925,2.9999999999999996,0.3,-10.960305986152827,10.960305986152827,0.0,0,0,0.0,-7.083333333333334e-05,1
61,Amihan,5.51458294006212,-0.9280324932898751,22.05833176024848,16.54374882018636,3.0,0.3,-11.957198373414114,11.957198373414114,0.9,25,72,0.27,7.500000000000001e-05,0
62,Amihan,5.163944718439673,-0.17293277818795538,20.655778873758692,15.491834155319019,3.0,0.3,-10.500822215067302,10.500822215067302,0.0625,0,5,0.01875,-6.979166666666668e-05,0
63,Amihan,4.8558080994381285,0.07902976517452671,19.423232397752514,14.567424298314386,3.0,0.3,-9.63258643370173,9.63258643370173,0.7375,18,59,0.22125,5.6250000000000005e-05,0
64,Amihan,4.8345572981276765,0.2834125450398419,19.338229192510706,14.503671894383029,3.0,0.3,-9.38570205121551,9.38570205121551,0.0625,1,5,0.01875,-5.6250000000000005e-05,0
65,Amihan,4.866433500093354,0.3461136854060769,19.465734000373416,14.599300500280062,3.0,0.3,-9.38675331478063,9.38675331478063,0.825,6,66,0.24749999999999997,6.354166666666666e-05,0
66,Amihan,4.770804894196323,0.3784904872488925,19.083219576785293,14.312414682588969,3.0,0.3,-9.163119301143754,9.163119301143754,0.075,1,6,0.0225,-6.249999999999999e-05,0
67,Amihan,4.367039669297748,-0.152289622418765,17.468158677190992,13.101119007893244,3.0,0.3,-8.886368961014261,8.886368961014261,0.925,30,74,0.2775,7.083333333333334e-05,0
68,Amihan,3.825144235881239,-0.1768562294660227,15.300576943524954,11.475432707643716,2.9999999999999996,0.3,-7.8271447012285,7.8271447012285,0.075,0,6,0.0225,-7.083333333333334e-05,0
69,Amihan,3.495756815569244,0.2999275034498724,13.983027262276975,10.487270446707731,3.0,0.3,-6.691586127688614,6.691586127688614,0.0875,0,7,0.02625,1.0416666666666667e-06,0
70,Amihan,2.996362984773637,-0.05732171979023811,11.985451939094547,8.989088954320911,3.0,0.3,-6.050047689337513,6.050047689337513,0.0,0,0,0.0,-7.291666666666667e-06,1
71,Amihan,2.550096157254159,-0.32531227910057214,10.200384629016636,7.650288471762477,3.0,0.3,-5.42550459360889,5.42550459360889,0.7,6,56,0.21,5.833333333333333e-05,0
72,Amihan,2.4650929520123537,-0.27936583238456963,9.860371808049415,7.395278856037061,0.0,0.0,-5.209551736409277,5.209551736409277,0.075,2,6,0.0,-5.833333333333333e-05,1
73,Amihan,2.3163373428391947,-0.21297616650243958,9.265349371356779,6.9490120285175845,0.0,0.0,-4.84565085218083,4.84565085218083,0.125,5,10,0.0,0.0,0
74,Amihan,2.018826124492876,0.10036810981680551,8.075304497971503,6.056478373478628,0.0,0.0,-3.9372841391689466,3.9372841391689466,0.0,0,0,0.0,0.0,0
75,Amihan,1.317549681247982,0.01876529831612825,5.270198724991928,3.9526490437439463,0.0,0.0,-2.616334064179836,2.616334064179836,0.525,0,42,0.0,0.0,0
76,Amihan,0.9244098570046326,0.06382914674175788,3.697639428018531,2.773229571013898,0.0,0.0,-1.7849905672675077,1.7849905672675077,0.0625,0,5,0.0,0.0,0
