station,datetime_utc,datetime_ph,synop_raw,wind_speed_ms,wind_direction_deg,wind_unit_code,missing_wind_flag
98747,2023-02-19T00:00:00+00:00,2023-02-19T08:00:00+08:00,AAXX 19001 98747 11470 52701 10260 20232 30001 40087 52015 60124 70544 82231 333 20224 58013 70120 82816 84358==,1.000,270.0,1,0
98747,2023-02-19T18:00:00+00:00,2023-02-20T02:00:00+08:00,AAXX 19181 98747 42460 51801 10248 20223 39994 40080 58013 82870 333 82816 85358==,1.000,180.0,1,0
98747,2023-02-20T12:00:00+00:00,2023-02-20T20:00:00+08:00,AAXX 20121 98747 41460 81902 10264 20245 30009 40095 52018 70242 8487/ 333 10299 58020 84616 88358==,2.000,190.0,1,0
98747,2023-02-20T18:00:00+00:00,2023-02-21T02:00:00+08:00,AAXX 20181 98747 11460 72002 10247 20237 30004 40090 58009 60011 70182 82878 333 82816 83358 86272==,2.000,200.0,1,0
98747,2023-02-21T09:00:00+00:00,2023-02-21T17:00:00+08:00,AAXX 21091 98747 41470 72901 10276 20250 30006 40092 51003 70544 83938 333 81816 84358 82915==,1.000,290.0,1,0
98747,2023-02-21T12:00:00+00:00,2023-02-21T20:00:00+08:00,AAXX 21121 98747 41460 82601 10262 20252 30019 40105 52013 70242 8287/ 333 10300 58010 82616 88358==,1.000,260.0,1,0
98747,2023-02-24T09:00:00+00:00,2023-02-24T17:00:00+08:00,AAXX 24091 98747 41470 70201 10282 20246 39992 40078 53008 78044 84970 333 87358 82915==,1.000,20.0,1,0
98747,2023-02-25T03:00:00+00:00,2023-02-25T11:00:00+08:00,AAXX 25031 98747 41475 20102 10290 20252 30027 40113 58004 70544 82202 333 82816==,2.000,10.0,1,0
98747,2023-02-26T00:00:00+00:00,2023-02-26T08:00:00+08:00,AAXX 26001 98747 12470 33605 10264 20234 30046 40132 52016 69924 82871 333 20256 58015 70002 82816 83358==,5.000,360.0,1,0
98747,2023-02-26T15:00:00+00:00,2023-02-26T23:00:00+08:00,AAXX 26151 98747 42470 50404 10256 20242 30030 40116 58001 82870 333 82816 85358==,4.000,40.0,1,0
98747,2023-02-26T18:00:00+00:00,2023-02-27T02:00:00+08:00,AAXX 26181 98747 42460 50802 10255 20237 30021 40107 58009 82870 333 82816 85358==,2.000,80.0,1,0
98747,2023-02-27T06:00:00+00:00,2023-02-27T14:00:00+08:00,AAXX 27061 98747 11475 43606 10297 20238 30018 40104 58021 60001 70544 82271 333 82816 83358==,6.000,360.0,1,0
98747,2023-02-27T09:00:00+00:00,2023-02-27T17:00:00+08:00,AAXX 27091 98747 31475 70409 10286 20245 30018 40104 55000 70544 83972 333 56999 81915 82816 85075=,9.000,40.0,1,0
98747,2023-03-01T03:00:00+00:00,2023-03-01T11:00:00+08:00,AAXX 01031 98747 41475 53203 10288 20237 30033 40119 50001 70544 81231 333 81816 84075==,3.000,320.0,1,0
98747,2023-03-12T12:00:00+00:00,2023-03-12T20:00:00+08:00,AAXX 12121 98747 42460 60205 10274 20213 30024 40110 52018 82270 333 10294 59011 82816 85358==,5.000,20.0,1,0
98747,2023-03-12T21:00:00+00:00,2023-03-13T05:00:00+08:00,AAXX 12211 98747 32465 20503 10252 20227 30006 40092 51006 82830 333 56990 82816=,3.000,50.0,1,0
98747,2023-03-13T03:00:00+00:00,2023-03-13T11:00:00+08:00,AAXX 13031 98747 41470 40407 10285 20229 30013 40099 58007 70544 82132 333 82816 83358==,7.000,40.0,1,0
98747,2023-03-13T06:00:00+00:00,2023-03-13T14:00:00+08:00,AAXX 13061 98747 41470 70403 10290 20229 39992 40078 57021 70544 82270 333 82816 87358==,3.000,40.0,1,0
98747,2023-03-13T15:00:00+00:00,2023-03-13T23:00:00+08:00,AAXX 13151 98747 42460 80102 10241 20228 30021 40107 51005 8387/ 333 83816 88358==,2.000,10.0,1,0
98747,2023-03-14T18:00:00+00:00,2023-03-15T02:00:00+08:00,AAXX 14181 98747 42460 81701 10241 20228 30010 40096 57007 8287/ 333 82816 88358==,1.000,170.0,1,0
98747,2023-03-17T18:00:00+00:00,2023-03-18T02:00:00+08:00,AAXX 17181 98747 42460 32201 10250 20243 30015 40101 58012 82871 333 82816 83358==,1.000,220.0,1,0
98747,2023-03-21T12:00:00+00:00,2023-03-21T20:00:00+08:00,AAXX 21121 98747 41465 63304 10270 20240 30006 40092 52015 70242 82208 333 10300 82816 85272==,4.000,330.0,1,0
98747,2023-03-21T18:00:00+00:00,2023-03-22T02:00:00+08:00,AAXX 21181 98747 42460 41201 10254 20244 30003 40089 58013 82201 333 82816 83075==,1.000,120.0,1,0
98747,2023-03-22T03:00:00+00:00,2023-03-22T11:00:00+08:00,AAXX 22031 98747 41475 13603 10292 20231 30013 40099 58004 70544 81200 333 81816==,3.000,360.0,1,0
98747,2023-03-23T18:00:00+00:00,2023-03-24T02:00:00+08:00,AAXX 23181 98747 42460 51801 10255 20234 30001 40087 58016 82870 333 82816 85358==,1.000,180.0,1,0
98747,2023-03-26T09:00:00+00:00,2023-03-26T17:00:00+08:00,AAXX 26091 98747 41475 73504 10298 20239 39984 40070 55000 70544 81208 333 81815 87272==,4.000,350.0,1,0
98747,2023-03-26T18:00:00+00:00,2023-03-27T02:00:00+08:00,AAXX 26181 98747 42460 51501 10255 20240 39992 40078 58015 81208 333 81816 85272==,1.000,150.0,1,0
98747,2023-03-26T21:00:00+00:00,2023-03-27T05:00:00+08:00,AAXX 26211 98747 42460 31501 10252 20233 39996 40082 53003 81208 333 81816 83272==,1.000,150.0,1,0
98747,2023-03-27T15:00:00+00:00,2023-03-27T23:00:00+08:00,AAXX 27151 98747 41460 30901 10270 20246 30020 40106 52017 71322 82970 333 83358 82915==,1.000,90.0,1,0
98747,2023-03-30T00:00:00+00:00,2023-03-30T08:00:00+08:00,AAXX 30001 98747 11470 43601 10270 20246 30014 40100 52021 69914 70544 82271 333 20240 59009 70001 82816 83358==,1.000,360.0,1,0
98747,2023-03-30T09:00:00+00:00,2023-03-30T17:00:00+08:00,AAXX 30091 98747 41460 83301 10270 20256 39985 40071 53006 78098 8297/ 333 82816 88358 81915==,1.000,330.0,1,0
98747,2023-03-30T18:00:00+00:00,2023-03-31T02:00:00+08:00,AAXX 30181 98747 42460 81801 10250 20236 39998 40084 58011 8287/ 333 82816 88358==,1.000,180.0,1,0
98747,2023-03-31T03:00:00+00:00,2023-03-31T11:00:00+08:00,AAXX 31031 98747 41475 33303 10300 20247 30014 40100 58006 70544 82201 333 82816 83075==,3.000,330.0,1,0
98747,2023-03-31T12:00:00+00:00,2023-03-31T20:00:00+08:00,AAXX 31121 98747 11460 81601 10263 20249 30006 40092 51016 60031 78096 8397/ 333 10302 58005 82816 88358 81915==,1.000,160.0,1,0
98747,2023-04-01T03:00:00+00:00,2023-04-01T11:00:00+08:00,AAXX 01031 98747 41470 80203 10293 20238 30013 40099 58003 70544 82877 333 82816 83358 88272==,3.000,20.0,1,0
98747,2023-04-01T15:00:00+00:00,2023-04-01T23:00:00+08:00,AAXX 01151 98747 42460 80701 10267 20248 30008 40094 50004 82807 333 82816 88272==,1.000,70.0,1,0
98747,2023-04-01T18:00:00+00:00,2023-04-02T02:00:00+08:00,AAXX 01181 98747 42460 52501 10253 20242 39990 40076 58018 82870 333 82816 85358==,1.000,250.0,1,0
98747,2023-04-01T21:00:00+00:00,2023-04-02T05:00:00+08:00,AAXX 01211 98747 42460 53001 10260 20248 39998 40084 53008 82870 333 82816 85358==,1.000,300.0,1,0
98747,2023-04-04T09:00:00+00:00,2023-04-04T17:00:00+08:00,AAXX 04091 98747 41475 23201 10298 20436 39989 40075 55001 70544 82206 333 82816==,1.000,320.0,1,0
98747,2023-04-08T15:00:00+00:00,2023-04-08T23:00:00+08:00,AAXX 08151 98747 42460 50302 10267 20241 30034 40120 51006 82870 333 82816 85358==,2.000,30.0,1,0
98747,2023-04-08T18:00:00+00:00,2023-04-09T02:00:00+08:00,AAXX 08181 98747 42460 80303 10270 20243 30009 40095 58025 8287/ 333 82816 88358==,3.000,30.0,1,0
98747,2023-04-08T21:00:00+00:00,2023-04-09T05:00:00+08:00,AAXX 08211 98747 42460 50501 10268 20238 30011 40097 53002 82870 333 82816 85358==,1.000,50.0,1,0
98747,2023-04-09T00:00:00+00:00,2023-04-09T08:00:00+08:00,AAXX 09001 98747 41470 60504 10282 20253 30021 40107 52010 70544 82971 333 20242 59010 82816 85358 81915==,4.000,50.0,1,0
98747,2023-04-09T09:00:00+00:00,2023-04-09T17:00:00+08:00,AAXX 09091 98747 41468 73406 10285 20245 39999 40085 53003 70544 82938 333 81816 87272 81915==,6.000,340.0,1,0
98747,2023-04-09T12:00:00+00:00,2023-04-09T20:00:00+08:00,AAXX 09121 98747 41460 70206 10278 20219 30016 40102 52017 70142 82870 333 10303 59012 82616 87358==,6.000,20.0,1,0
98747,2023-04-09T18:00:00+00:00,2023-04-10T02:00:00+08:00,AAXX 09181 98747 42465 30602 10261 20253 30009 40095 58017 81801 333 81616 83075==,2.000,60.0,1,0
