hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
21,2023-01-01 20:00:00,1,20,Amihan,5.03,341.2,7.08,5.344576529578509,5.579632544139787,5.769052243425565,5.928583129042132,6.189323921992808,25.64,92.7,1.11987934669835,0,6.399441679176925,0.2124057852452124
22,2023-01-01 21:00:00,1,21,Amihan,7.19,350.1,9.34,7.639663071107252,7.975657652557668,8.246418614359804,8.47445580473418,8.8471648109599,25.93,94.42,1.1187934666310018,0,9.147512062282722,0.1625505889271189
23,2023-01-01 22:00:00,1,22,Amihan,9.31,9.9,11.88,9.892248010015091,10.327311925634476,10.677907830276745,10.973182690135635,11.455786424205376,26.35,91.98,1.1172245409015025,0,11.84469225310878,0.1514610913302345
24,2023-01-01 23:00:00,1,23,Amihan,8.01,24.6,10.46,8.510945924835756,8.88525977704964,9.18690029221447,9.440944505691348,9.85615996325296,26.29,90.32,1.117448403686882,0,10.190761004017329,0.1658142233973478
25,2023-01-02 00:00:00,1,0,Amihan,6.1,31.9,8.45,6.481494399687654,6.766552389513459,6.996266140138359,7.189733019315507,7.50593954754595,26.03,90.08,1.1184195133364532,0,7.760754322659888,0.2024791808818286
26,2023-01-02 01:00:00,1,1,Amihan,4.68,29.3,6.82,4.9726875066456095,5.191387734905407,5.367627137024184,5.516057463999438,5.758655259428696,25.64,91.03,1.11987934669835,0,5.954152496729225,0.2339707291698548
27,2023-01-02 02:00:00,1,2,Amihan,4.72,20.6,6.87,5.015189109266513,5.23575857024648,5.413504292041485,5.563203254290031,5.807874535150308,25.41,90.89,1.120742061897106,0,6.005042689008962,0.2332213648857754
28,2023-01-02 03:00:00,1,3,Amihan,5.07,11.4,7.16,5.387078132199411,5.624003379480859,5.8149293984428665,5.975728919332726,6.238543197714421,25.06,90.31,1.1220574427416925,0,6.450331871456662,0.2144656595341608
29,2023-01-02 04:00:00,1,4,Amihan,3.92,348.4,5.6,4.16515705684846,4.348341863425042,4.495961191695471,4.620287448478162,4.8234890207180525,24.38,91.59,1.1246218868685511,0,4.987238843414223,0.2216146029512255
30,2023-01-02 05:00:00,1,5,Amihan,3.46,324.7,4.92,3.67638862670808,3.838077257002716,3.968373908996512,4.078110860136337,4.257467349919506,24.0,92.78,1.126060070671378,0,4.402001632197248,0.2187347139736267
31,2023-01-02 06:00:00,1,6,Amihan,3.39,332.2,4.7,3.6020108221215,3.7604282951558408,3.888088887716236,3.995605727127799,4.171333617406684,24.25,93.15,1.1251134835238736,0,4.312943795707708,0.2030103707632352
32,2023-01-02 07:00:00,1,7,Amihan,4.14,354.9,5.34,4.398915871263424,4.592381457800937,4.748285544290624,4.879589295076426,5.094195037186923,25.14,92.84,1.121756512119079,0,5.267134900952776,0.1581482970970477
33,2023-01-02 08:00:00,1,8,Amihan,5.2,8.6,6.27,5.525208340717345,5.768208594339343,5.9640301522490935,6.128952737777154,6.398505843809662,26.19,92.06,1.1178217077570656,0,6.615724996365807,0.1162627819388524
34,2023-01-02 09:00:00,1,9,Amihan,5.27,23.0,6.19,5.599586145303924,5.845857556186218,6.04431517352937,6.211457870785692,6.484639576322484,26.94,90.01,1.1150279916025194,0,6.704782832855345,0.0999757262458686
35,2023-01-02 10:00:00,1,10,Amihan,5.4,32.6,6.29,5.737716353821859,5.990062771044702,6.1934159273355975,6.364681689230122,6.644602222417727,27.49,86.52,1.1129881253326237,0,6.870175957764491,0.0947921730707752
36,2023-01-02 11:00:00,1,11,Amihan,5.59,38.0,6.52,5.939598966271145,6.200824238914793,6.411332413667775,6.588624193110441,6.878393782095387,27.69,84.21,1.1122482050259277,0,7.1119043710932415,0.0956203949109189
37,2023-01-02 12:00:00,1,12,Amihan,5.41,37.2,6.32,5.748341754477084,6.001155479879969,6.204885216089923,6.37646813680277,6.65690704134813,27.67,83.81,1.1123221527823948,0,6.882898505834426,0.0965990139161344
38,2023-01-02 13:00:00,1,13,Amihan,5.2,32.0,6.07,5.525208340717345,5.768208594339343,5.9640301522490935,6.128952737777154,6.398505843809662,27.66,83.62,1.1123591303480602,0,6.615724996365807,0.0961205016290801
39,2023-01-02 14:00:00,1,14,Amihan,5.21,28.2,6.12,5.535833741372571,5.77930130317461,5.975499441003419,6.140739185349802,6.410810662740065,27.66,83.31,1.1123591303480602,0,6.6284475444357405,0.1000238900272275
